iter	MAE
0	94.87584958
1	92.00567518
2	89.19222121
3	87.35054776
4	85.71154745
5	84.01534401
6	82.32274417
7	79.94370349
8	79.09071558
9	77.829942
10	75.71996962
11	73.7159359
12	73.04232213
13	72.30009618
14	71.79712699
15	70.28615515
16	69.22761354
17	67.95551176
18	67.54122493
19	67.03303649
20	66.39425839
21	66.04325077
22	65.10317867
23	64.49398244
24	63.47328635
25	62.62968667
26	61.70321783
27	61.38375163
28	60.96780698
29	60.40632689
30	59.84993865
31	59.16906958
32	58.53307181
33	58.00985865
34	57.51447998
35	57.16008593
36	56.92433469
37	56.50142809
38	56.11586428
39	55.97266091
40	55.5519464
41	55.25069004
42	55.10866418
43	54.88709007
44	54.56134125
45	54.38513366
46	54.10558125
47	53.91931959
48	53.71052758
49	53.50155664
50	53.34643516
51	53.23352253
52	52.94352287
53	52.75760727
54	52.55675918
55	52.44754653
56	52.3467044
57	52.10091943
58	51.94387119
59	51.76104391
60	51.60255708
61	51.44428869
62	51.24554678
63	51.0226646
64	50.85950346
65	50.69522818
66	50.52674578
67	50.41726015
68	50.09995095
69	49.72869609
70	49.62297975
71	49.38692067
72	49.30951247
73	49.19937796
74	49.04120692
75	48.98992476
76	48.87968312
77	48.59550809
78	48.48798273
79	48.32653905
80	48.12904328
81	47.96898535
82	47.79278999
83	47.65157016
84	47.58921791
85	47.45299628
86	47.30828728
87	47.16963398
88	47.03586264
89	46.92052736
90	46.77991541
91	46.6887569
92	46.50287075
93	46.29330343
94	46.16605217
95	46.0718167
96	45.98377049
97	45.86535172
98	45.7577254
99	45.70572353
100	45.63789887
101	45.50568806
102	45.41181207
103	45.27247685
104	45.15747966
105	45.09079825
106	45.00102943
107	44.92020524
108	44.85577002
109	44.79945869
110	44.64930559
111	44.60127448
112	44.53473432
113	44.41040096
114	44.38979123
115	44.37232152
116	44.29548603
117	44.28438358
118	44.16159739
119	44.09383382
120	44.01515007
121	43.96680547
122	43.92860354
123	43.85905257
124	43.81348399
125	43.77801256
126	43.67208356
127	43.57193354
128	43.49666207
129	43.45754042
130	43.40903983
131	43.32699024
132	43.2430058
133	43.2038105
134	43.16383616
135	43.05907629
136	43.02818336
137	42.95013902
138	42.93171456
139	42.91065109
140	42.87893133
141	42.82291256
142	42.72210072
143	42.56790237
144	42.55718013
145	42.53119254
146	42.49666435
147	42.40637035
148	42.36121191
149	42.30647064
150	42.28904326
151	42.27104287
152	42.25656812
153	42.20764794
154	42.15721114
155	42.13983163
156	42.07893564
157	42.04655838
158	41.99659799
159	41.92381369
160	41.80451733
161	41.77716053
162	41.73499456
163	41.68209799
164	41.57272529
165	41.49269232
166	41.46846945
167	41.42766073
168	41.35461926
169	41.34178526
170	41.31178586
171	41.26998852
172	41.25176423
173	41.23221929
174	41.15965254
175	41.14407688
176	41.08445084
177	41.07646991
178	41.03291918
179	41.01198256
180	40.9499627
181	40.93081202
182	40.80634296
183	40.7563476
184	40.72863996
185	40.70298646
186	40.66417317
187	40.60304445
188	40.57733085
189	40.56568457
190	40.55405831
191	40.50818653
192	40.45165475
193	40.33069164
194	40.28779455
195	40.25347361
196	40.19628838
197	40.16530827
198	40.14195162
199	40.08817149
200	40.04814917
201	39.99794176
202	39.95580207
203	39.91723548
204	39.90051404
205	39.8863531
206	39.85987461
207	39.82484643
208	39.78164526
209	39.73101269
210	39.69190826
211	39.63627917
212	39.58267646
213	39.56460979
214	39.53739455
215	39.50504048
216	39.46564754
217	39.42160825
218	39.37929628
219	39.35185073
220	39.32896843
221	39.30890564
222	39.26368454
223	39.21313341
224	39.18149389
225	39.16106396
226	39.13540506
227	39.11351342
228	39.06954363
229	39.03281322
230	39.02266257
231	38.99656881
232	38.97134217
233	38.93487516
234	38.89922115
235	38.86289433
236	38.82872072
237	38.79510693
238	38.7507628
239	38.72849762
240	38.70772519
241	38.69799142
242	38.67870312
243	38.65384046
244	38.63382181
245	38.57530963
246	38.55893107
247	38.51374701
