일자,중식계,석식계
2021-01-27,1062.8695432208433,337.0357251744999
2021-01-28,935.0925163072209,426.2388418260956
2021-01-29,593.7916946087824,247.49128431735707
2021-02-01,1217.217616033132,535.1617822550678
2021-02-02,1000.4071116967702,436.93620472922817
2021-02-03,890.3795951182184,415.0632887995922
2021-02-04,806.8625442768393,427.3714544868722
2021-02-05,639.8754885552529,400.49756615543413
2021-02-08,1226.2077586756461,562.3134570456507
2021-02-09,960.5065701033911,513.5527830201465
2021-02-10,707.7725890826441,302.016638152971
2021-02-15,1232.3879155200152,722.2635109250213
2021-02-16,1133.921743878984,586.0712808659315
2021-02-17,1052.1927983752769,193.64991284088597
2021-02-18,806.3759908784556,441.79381054353166
2021-02-19,567.5140375225989,341.9190843682429
2021-02-22,1164.7177345228927,580.2270729508729
2021-02-23,965.6001665889801,591.5151759014215
2021-02-24,844.3733838980303,420.7768939601489
2021-02-25,730.755089154284,426.54484423989504
2021-02-26,557.8003297666559,229.507985902642
2021-03-02,1090.1259403759461,603.9653166418614
2021-03-03,1004.8495320008591,414.2281401074821
2021-03-04,926.6475096792974,562.5918350154118
2021-03-05,620.8997655033185,381.1433946948191
2021-03-08,1327.000396634611,666.64920581756
2021-03-09,1232.8810111690434,649.9173577679934
2021-03-10,1073.0422193704408,371.7943294088861
2021-03-11,872.1327453789402,448.63709152063376
2021-03-12,615.555065861854,282.2082386032176
2021-03-15,1267.7041040725792,678.2518376501671
2021-03-16,1049.4135030708533,514.0025697615857
2021-03-17,964.2901930182807,380.53384063554387
2021-03-18,949.1824585899815,408.60875265764116
2021-03-19,543.9595197213162,12.406555499807924
2021-03-22,1269.2839629760913,552.5456050119525
2021-03-23,912.5114225817498,482.9878273916793
2021-03-24,897.5557200939703,296.1954577415993
2021-03-25,729.9068076429485,388.03077722398865
2021-03-26,550.8748378075071,248.28684104358658
2021-03-29,1270.2655551106689,578.7288737842842
2021-03-30,928.0793438206709,441.48247200279144
2021-03-31,927.9974562379432,345.2518075861227
2021-04-01,812.2004303733488,394.4133628993345
2021-04-02,604.0965384241898,229.87149961239874
2021-04-05,1213.215583034946,545.0740677325244
2021-04-06,1010.2343408763043,463.1625705820245
2021-04-07,906.977786079518,417.96235044011354
2021-04-08,848.3791739250134,339.40157263548144
2021-04-09,522.9973319284205,262.31823345266537
