瘤痢,瘤痢疙,老矫,碍荐樊(mm)
192,柳林,2016-01-05 12:00,0
192,柳林,2016-01-17 18:00,.8
192,柳林,2016-01-17 21:00,.5
192,柳林,2016-01-18 00:00,.1
192,柳林,2016-01-24 06:00,.5
192,柳林,2016-01-24 09:00,0
192,柳林,2016-01-24 12:00,0
192,柳林,2016-01-28 15:00,0
192,柳林,2016-01-28 18:00,4.6
192,柳林,2016-01-28 21:00,9.1
192,柳林,2016-01-29 00:00,5.7
192,柳林,2016-01-29 03:00,3.8
192,柳林,2016-01-29 06:00,3.4
192,柳林,2016-01-29 09:00,2.5
192,柳林,2016-01-29 12:00,1.2
192,柳林,2016-01-29 15:00,.2
192,柳林,2016-01-29 18:00,2
192,柳林,2016-01-29 21:00,.9
192,柳林,2016-01-30 00:00,.1
192,柳林,2016-02-12 03:00,0
192,柳林,2016-02-12 06:00,3.6
192,柳林,2016-02-12 09:00,4
192,柳林,2016-02-12 12:00,9.4
192,柳林,2016-02-12 15:00,15.8
192,柳林,2016-02-12 18:00,20.4
192,柳林,2016-02-12 21:00,4.1
192,柳林,2016-02-13 00:00,5.5
192,柳林,2016-02-13 03:00,1.6
192,柳林,2016-02-13 06:00,.1
192,柳林,2016-02-13 09:00,.1
192,柳林,2016-02-13 15:00,.5
192,柳林,2016-02-13 18:00,4.5
192,柳林,2016-02-13 21:00,3
192,柳林,2016-02-14 00:00,.1
192,柳林,2016-02-27 06:00,.7
192,柳林,2016-02-27 09:00,0
192,柳林,2016-02-28 09:00,.9
192,柳林,2016-02-28 12:00,0
192,柳林,2016-02-28 18:00,0
192,柳林,2016-02-28 21:00,2.1
192,柳林,2016-03-04 00:00,0
192,柳林,2016-03-04 03:00,.2
192,柳林,2016-03-04 06:00,1.8
192,柳林,2016-03-04 09:00,1.7
192,柳林,2016-03-04 12:00,4.5
192,柳林,2016-03-04 15:00,2.2
192,柳林,2016-03-04 18:00,20.3
192,柳林,2016-03-04 21:00,5.4
192,柳林,2016-03-05 06:00,.1
192,柳林,2016-03-05 09:00,.2
192,柳林,2016-03-05 12:00,2.6
192,柳林,2016-03-05 15:00,6.1
192,柳林,2016-03-05 18:00,1.6
192,柳林,2016-03-05 21:00,16.2
192,柳林,2016-03-06 00:00,16.3
192,柳林,2016-03-06 03:00,1.3
192,柳林,2016-03-08 15:00,.6
192,柳林,2016-03-08 21:00,0
192,柳林,2016-03-09 00:00,2.7
192,柳林,2016-03-09 03:00,6.5
192,柳林,2016-03-09 06:00,.3
192,柳林,2016-03-18 03:00,2.8
192,柳林,2016-03-18 06:00,8.3
192,柳林,2016-03-18 09:00,5.3
192,柳林,2016-03-18 12:00,3.4
192,柳林,2016-03-18 15:00,7.1
192,柳林,2016-03-18 18:00,.6
192,柳林,2016-03-18 21:00,.1
192,柳林,2016-03-25 00:00,0
192,柳林,2016-03-25 03:00,2.2
192,柳林,2016-03-25 06:00,.6
192,柳林,2016-03-25 09:00,0
192,柳林,2016-03-25 15:00,0
192,柳林,2016-03-25 18:00,0
192,柳林,2016-04-03 10:00,0
192,柳林,2016-04-03 11:00,.2
192,柳林,2016-04-03 12:00,3.9
192,柳林,2016-04-03 13:00,3.2
192,柳林,2016-04-03 14:00,3.7
192,柳林,2016-04-03 15:00,4
192,柳林,2016-04-03 16:00,4.8
192,柳林,2016-04-03 17:00,3.8
192,柳林,2016-04-03 18:00,3.9
192,柳林,2016-04-03 19:00,2.4
192,柳林,2016-04-03 20:00,2.6
192,柳林,2016-04-03 21:00,1.7
192,柳林,2016-04-03 22:00,1.2
192,柳林,2016-04-03 23:00,1.4
192,柳林,2016-04-04 00:00,1
192,柳林,2016-04-04 01:00,.9
192,柳林,2016-04-04 02:00,1.1
192,柳林,2016-04-04 03:00,.2
192,柳林,2016-04-04 04:00,.1
192,柳林,2016-04-04 05:00,.1
192,柳林,2016-04-04 06:00,.2
192,柳林,2016-04-04 07:00,0
192,柳林,2016-04-04 08:00,0
192,柳林,2016-04-06 17:00,0
192,柳林,2016-04-06 18:00,0
192,柳林,2016-04-06 19:00,.8
192,柳林,2016-04-06 20:00,2
192,柳林,2016-04-06 21:00,3.9
192,柳林,2016-04-06 22:00,6.3
192,柳林,2016-04-06 23:00,6.5
192,柳林,2016-04-07 00:00,6.6
192,柳林,2016-04-07 01:00,7.7
192,柳林,2016-04-07 02:00,4.3
192,柳林,2016-04-07 03:00,3.7
192,柳林,2016-04-07 04:00,2.1
192,柳林,2016-04-07 05:00,1.9
192,柳林,2016-04-07 06:00,3.9
192,柳林,2016-04-07 07:00,.8
192,柳林,2016-04-07 08:00,1.4
192,柳林,2016-04-07 09:00,2.4
192,柳林,2016-04-07 10:00,.5
192,柳林,2016-04-07 11:00,0
192,柳林,2016-04-07 12:00,0
192,柳林,2016-04-07 15:00,0
192,柳林,2016-04-12 22:00,.8
192,柳林,2016-04-12 23:00,1.1
192,柳林,2016-04-13 00:00,1.2
192,柳林,2016-04-13 01:00,1.3
192,柳林,2016-04-13 02:00,2.2
192,柳林,2016-04-13 03:00,2.6
192,柳林,2016-04-13 04:00,3.7
192,柳林,2016-04-13 05:00,0
192,柳林,2016-04-13 06:00,.8
192,柳林,2016-04-13 07:00,4.1
192,柳林,2016-04-13 08:00,3.5
192,柳林,2016-04-13 09:00,5
192,柳林,2016-04-13 10:00,4.9
192,柳林,2016-04-13 11:00,8.2
192,柳林,2016-04-13 12:00,.3
192,柳林,2016-04-13 13:00,.5
192,柳林,2016-04-13 14:00,.3
192,柳林,2016-04-13 15:00,.1
192,柳林,2016-04-13 16:00,0
192,柳林,2016-04-13 17:00,.1
192,柳林,2016-04-13 18:00,.1
192,柳林,2016-04-16 17:00,1.5
192,柳林,2016-04-16 18:00,4.6
192,柳林,2016-04-16 19:00,7.7
192,柳林,2016-04-16 20:00,10
192,柳林,2016-04-16 21:00,17.5
192,柳林,2016-04-16 22:00,22.7
192,柳林,2016-04-16 23:00,9.6
192,柳林,2016-04-17 00:00,3.9
192,柳林,2016-04-17 01:00,3.2
192,柳林,2016-04-17 02:00,.7
192,柳林,2016-04-17 03:00,0
192,柳林,2016-04-21 02:00,0
192,柳林,2016-04-21 03:00,3.1
192,柳林,2016-04-21 04:00,4.7
192,柳林,2016-04-21 05:00,4.7
192,柳林,2016-04-21 06:00,3.6
192,柳林,2016-04-21 07:00,5
192,柳林,2016-04-21 08:00,3.3
192,柳林,2016-04-21 09:00,3.8
192,柳林,2016-04-21 10:00,3.1
192,柳林,2016-04-21 11:00,1.1
192,柳林,2016-04-21 12:00,.2
192,柳林,2016-04-21 13:00,.4
192,柳林,2016-04-21 14:00,.1
192,柳林,2016-04-21 15:00,.1
192,柳林,2016-04-26 22:00,.4
192,柳林,2016-04-26 23:00,.6
192,柳林,2016-04-27 00:00,.2
192,柳林,2016-04-27 01:00,.2
192,柳林,2016-04-27 02:00,.8
192,柳林,2016-04-27 03:00,.4
192,柳林,2016-04-27 04:00,.2
192,柳林,2016-04-27 05:00,1.2
192,柳林,2016-04-27 06:00,1.5
192,柳林,2016-04-27 07:00,.5
192,柳林,2016-04-27 08:00,1.9
192,柳林,2016-04-27 09:00,6.8
192,柳林,2016-04-27 10:00,6.5
192,柳林,2016-04-27 11:00,1.9
192,柳林,2016-04-27 12:00,1.1
192,柳林,2016-04-27 13:00,1.2
192,柳林,2016-04-27 14:00,.1
192,柳林,2016-04-27 15:00,.8
192,柳林,2016-04-27 16:00,.5
192,柳林,2016-04-27 17:00,1.7
192,柳林,2016-04-27 18:00,3.9
192,柳林,2016-04-27 19:00,2.1
192,柳林,2016-04-27 20:00,7
192,柳林,2016-04-27 21:00,2
192,柳林,2016-04-27 22:00,.5
192,柳林,2016-04-27 23:00,0
192,柳林,2016-04-28 00:00,.1
192,柳林,2016-04-28 01:00,.1
192,柳林,2016-04-28 02:00,.2
192,柳林,2016-04-28 03:00,.5
192,柳林,2016-04-28 04:00,1.6
192,柳林,2016-04-28 05:00,.8
192,柳林,2016-04-28 06:00,.6
192,柳林,2016-04-28 07:00,.7
192,柳林,2016-04-28 08:00,.4
192,柳林,2016-04-28 09:00,.1
192,柳林,2016-05-02 19:00,0
192,柳林,2016-05-02 22:00,0
192,柳林,2016-05-02 23:00,0
192,柳林,2016-05-03 00:00,0
192,柳林,2016-05-03 01:00,1.4
192,柳林,2016-05-03 02:00,4
192,柳林,2016-05-03 03:00,2.5
192,柳林,2016-05-03 04:00,3.8
192,柳林,2016-05-03 05:00,8.2
192,柳林,2016-05-03 06:00,8.8
192,柳林,2016-05-03 07:00,19.9
192,柳林,2016-05-03 08:00,13.2
192,柳林,2016-05-03 09:00,7.5
192,柳林,2016-05-03 10:00,8.4
192,柳林,2016-05-03 11:00,1.8
192,柳林,2016-05-03 12:00,1
192,柳林,2016-05-03 13:00,.1
192,柳林,2016-05-06 03:00,.3
192,柳林,2016-05-06 04:00,0
192,柳林,2016-05-06 05:00,1.6
192,柳林,2016-05-06 06:00,1
192,柳林,2016-05-06 07:00,.6
192,柳林,2016-05-06 08:00,.1
192,柳林,2016-05-06 09:00,.2
192,柳林,2016-05-06 10:00,.1
192,柳林,2016-05-06 11:00,0
192,柳林,2016-05-06 12:00,0
192,柳林,2016-05-10 05:00,.2
192,柳林,2016-05-10 06:00,1.1
192,柳林,2016-05-10 07:00,2.3
192,柳林,2016-05-10 08:00,1
192,柳林,2016-05-10 09:00,3.5
192,柳林,2016-05-10 10:00,2.5
192,柳林,2016-05-10 11:00,5.6
192,柳林,2016-05-10 12:00,1.7
192,柳林,2016-05-10 13:00,4.7
192,柳林,2016-05-10 14:00,1.4
192,柳林,2016-05-10 15:00,3.1
192,柳林,2016-05-10 16:00,1.6
192,柳林,2016-05-10 17:00,1.8
192,柳林,2016-05-10 18:00,.7
192,柳林,2016-05-10 19:00,.1
192,柳林,2016-05-10 23:00,0
192,柳林,2016-05-11 00:00,0
192,柳林,2016-05-11 01:00,.1
192,柳林,2016-05-15 21:00,0
192,柳林,2016-05-15 22:00,.8
192,柳林,2016-05-15 23:00,1.1
192,柳林,2016-05-16 00:00,1
192,柳林,2016-05-16 01:00,0
192,柳林,2016-05-16 04:00,2
192,柳林,2016-05-16 05:00,2.5
192,柳林,2016-05-16 06:00,.5
192,柳林,2016-05-16 07:00,.1
192,柳林,2016-05-16 08:00,.7
192,柳林,2016-05-16 09:00,.2
192,柳林,2016-05-24 06:00,.4
192,柳林,2016-05-24 07:00,.2
192,柳林,2016-05-24 08:00,0
192,柳林,2016-05-24 09:00,.5
192,柳林,2016-05-24 10:00,1.4
192,柳林,2016-05-24 11:00,7.6
192,柳林,2016-05-24 12:00,8.7
192,柳林,2016-05-24 13:00,2.7
192,柳林,2016-05-24 14:00,3.1
192,柳林,2016-05-24 15:00,.7
192,柳林,2016-05-24 16:00,.3
192,柳林,2016-05-26 23:00,0
192,柳林,2016-05-27 01:00,0
192,柳林,2016-05-27 22:00,0
192,柳林,2016-05-28 03:00,0
192,柳林,2016-05-28 04:00,0
192,柳林,2016-05-28 05:00,0
192,柳林,2016-05-28 07:00,0
192,柳林,2016-05-28 08:00,0
192,柳林,2016-05-28 10:00,0
192,柳林,2016-05-29 07:00,.2
192,柳林,2016-05-29 08:00,3.3
192,柳林,2016-05-29 09:00,0
192,柳林,2016-05-29 10:00,0
192,柳林,2016-05-29 11:00,0
192,柳林,2016-06-04 08:00,0
192,柳林,2016-06-04 10:00,0
192,柳林,2016-06-04 11:00,0
192,柳林,2016-06-04 12:00,1
192,柳林,2016-06-04 13:00,1.2
192,柳林,2016-06-04 14:00,1.7
192,柳林,2016-06-04 15:00,3
192,柳林,2016-06-04 16:00,3.2
192,柳林,2016-06-04 17:00,.6
192,柳林,2016-06-04 18:00,.4
192,柳林,2016-06-04 19:00,0
192,柳林,2016-06-06 07:00,0
192,柳林,2016-06-06 08:00,0
192,柳林,2016-06-06 09:00,0
192,柳林,2016-06-06 10:00,0
192,柳林,2016-06-06 11:00,0
192,柳林,2016-06-06 15:00,0
192,柳林,2016-06-06 16:00,0
192,柳林,2016-06-06 20:00,0
192,柳林,2016-06-06 21:00,0
192,柳林,2016-06-06 22:00,.7
192,柳林,2016-06-06 23:00,0
192,柳林,2016-06-07 00:00,.3
192,柳林,2016-06-07 01:00,0
192,柳林,2016-06-07 05:00,0
192,柳林,2016-06-12 14:00,0
192,柳林,2016-06-12 15:00,.1
192,柳林,2016-06-12 16:00,0
192,柳林,2016-06-12 17:00,0
192,柳林,2016-06-15 16:00,0
192,柳林,2016-06-15 23:00,0
192,柳林,2016-06-16 00:00,0
192,柳林,2016-06-16 01:00,0
192,柳林,2016-06-16 02:00,0
192,柳林,2016-06-16 03:00,0
192,柳林,2016-06-16 04:00,0
192,柳林,2016-06-18 20:00,0
192,柳林,2016-06-18 22:00,0
192,柳林,2016-06-18 23:00,.6
192,柳林,2016-06-19 00:00,5.4
192,柳林,2016-06-19 01:00,1.2
192,柳林,2016-06-19 02:00,0
192,柳林,2016-06-20 12:00,2.3
192,柳林,2016-06-20 13:00,2.4
192,柳林,2016-06-20 14:00,0
192,柳林,2016-06-20 15:00,0
192,柳林,2016-06-20 18:00,0
192,柳林,2016-06-20 19:00,.2
192,柳林,2016-06-20 20:00,0
192,柳林,2016-06-21 00:00,.3
192,柳林,2016-06-21 01:00,0
192,柳林,2016-06-21 02:00,0
